,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,title,features,quality,price,popularity,category,latitude,longitude,address,link
843,843,843,843,843,843,843,843,843,843,Marina Golf Course,"{'hole': 7, 'footgolf': 3, 'goose': 3, 'fun': 3}",4.4,0,113,Golf course,37.698111,-122.186265,"13800 Monarch Bay Dr, San Leandro, CA 94577",https://www.google.com/maps/place/Marina+Golf+Course/data=!4m2!3m1!1s0x808f854fd6e0de1f:0xbb308ea25efba825!10m1!1e1
844,844,844,844,844,844,844,844,844,844,Berkeley Country Club,{'wedding': 8},4.5,0,221,Country club,37.934743,-122.303139,"7901 Cutting Blvd, El Cerrito, CA 94530",https://www.google.com/maps/place/Berkeley+Country+Club/data=!4m2!3m1!1s0x808579b02fd06c77:0x898be59b08a37264!10m1!1e1
845,845,845,845,845,845,845,845,845,845,Metropolitan Golf Links,"{'price': 14, 'wind': 13, 'shape': 10, 'wedding': 7, 'planes': 5, 'cart': 5, 'foxes': 4, 'afternoon': 4, 'design': 3, 'area': 3}",4.3,0,377,Golf course,37.719952,-122.193329,"10051 Doolittle Dr, Oakland, CA 94603",https://www.google.com/maps/place/Metropolitan+Golf+Links/data=!4m2!3m1!1s0x808f857339484f99:0xc567ef6f3b09be23!10m1!1e1
846,846,846,846,846,846,846,846,846,846,Redwood Canyon Golf Course,"{'shape': 15, 'wedding': 13, 'deer': 10, 'creek': 7, 'management': 7, 'cart': 7, 'scenery': 5, 'hike': 5, 'tee boxes': 5, 'atmosphere': 5}",4.2,0,345,Golf course,37.726087,-122.082028,"17007 Redwood Rd, Castro Valley, CA 94546",https://www.google.com/maps/place/Redwood+Canyon+Golf+Course/data=!4m2!3m1!1s0x808f8e07ff7edce3:0x39a34803d36c420c!10m1!1e1
847,847,847,847,847,847,847,847,847,847,Lake Chabot Golf Course,"{'disc golf': 33, 'tee': 30, 'hills': 22, 'elevation': 15, 'snack': 9, 'school': 6, 'gimmicky': 5, 'deer': 5, 'discount': 5, 'cars': 5}",4.3,0,525,Golf course,37.739509,-122.119293,"11450 Golf Links Rd, Oakland, CA 94605",https://www.google.com/maps/place/Lake+Chabot+Golf+Course/data=!4m2!3m1!1s0x808f8e5105f4c5cd:0xe2556f9f6e4a2931!10m1!1e1
848,848,848,848,848,848,848,848,848,848,The Bridges Golf Club,"{'wedding': 41, 'tee': 24, 'course': 12, 'greens': 11, 'boxes': 9, 'shape': 9, 'drinks': 8, 'pro shop': 6, 'parking': 5, 'facility': 5}",4.2,0,488,Golf club,37.771,-121.934043,"9000 S Gale Ridge Rd, San Ramon, CA 94582",https://www.google.com/maps/place/The+Bridges+Golf+Club/data=!4m2!3m1!1s0x808ff276c348ecf1:0x9e6b39a1d8967a0c!10m1!1e1
849,849,849,849,849,849,849,849,849,849,Bay View Golf Club,"{'slopes': 15, 'players': 10, 'brunch': 10, 'chef': 8, 'servers': 7, 'birthday': 7, 'GPS': 7, 'fish and chips': 6, 'music': 6, 'instructors': 5}",4.0,0,473,Golf course,37.455186,-121.881525,"1500 Country Club Dr, Milpitas, CA 95035",https://www.google.com/maps/place/Bay+View+Golf+Club/data=!4m2!3m1!1s0x808fcf1571dca1c9:0xc184dfc802b6c414!10m1!1e1
850,850,850,850,850,850,850,850,850,850,Orinda Country Club,{'tennis': 3},4.4,0,121,Country club,37.891476,-122.190102,"315 Camino Sobrante, Orinda, CA 94563",https://www.google.com/maps/place/Orinda+Country+Club/data=!4m2!3m1!1s0x80857cc21b29098f:0xdd86f2148ae14326!10m1!1e1
851,851,851,851,851,851,851,851,851,851,The Peninsula Golf & Country Club,{'tennis': 3},4.5,0,116,Golf club,37.541408,-122.320587,"701 Madera Dr, San Mateo, CA 94403",https://www.google.com/maps/place/The+Peninsula+Golf+%26+Country+Club/data=!4m2!3m1!1s0x808f9e4fba7e759d:0x64ddbfb3fc53191d!10m1!1e1
852,852,852,852,852,852,852,852,852,852,Sequoyah Country Club,"{'wedding': 12, 'drink': 4, 'lunch': 3}",4.6,0,247,Private golf course,37.766213,-122.133713,"4550 Heafey Rd, Oakland, CA 94605",https://www.google.com/maps/place/Sequoyah+Country+Club/data=!4m2!3m1!1s0x808f8f2221b2c617:0xdf89055a5a6594b3!10m1!1e1
853,853,853,853,853,853,853,853,853,853,Poplar Creek Golf Course,"{'shape': 14, 'windy': 12, 'tee': 10, 'pro shop': 9, 'greens': 9, 'walk': 8, 'lunch': 7, 'parking': 6, 'atmosphere': 5, 'afternoon': 5}",4.2,0,406,Golf course,37.586188,-122.32532,"1700 Coyote Point Dr, San Mateo, CA 94401",https://www.google.com/maps/place/Poplar+Creek+Golf+Course/data=!4m2!3m1!1s0x808f9dc57824222f:0xdf04fea6972b66a9!10m1!1e1
854,854,854,854,854,854,854,854,854,854,Mariners Point Golf Center,"{'practice': 22, 'bar': 18, 'night': 15, 'area': 15, 'grass': 13, 'bay': 12, 'hole': 10, 'monitors': 6, 'bucket': 6, 'lights': 5}",4.6,0,491,Golf course,37.572173,-122.283067,"2401 E 3rd Ave, Foster City, CA 94404",https://www.google.com/maps/place/Mariners+Point+Golf+Center/data=!4m2!3m1!1s0x808f9ebc3adff7a5:0x112d42dc2b5be91c!10m1!1e1
855,855,855,855,855,855,855,855,855,855,Boundary Oak Golf Course,"{'wedding': 14, 'price': 11, 'area': 6, 'parking': 5, 'cold': 3, 'banquet': 3, 'machine': 3, 'chicken': 3, 'bucket': 3, 'dinner': 3}",4.3,0,321,Public golf course,37.924071,-121.996887,"3800 Valley Vista Rd, Walnut Creek, CA 94598",https://www.google.com/maps/place/Boundary+Oak+Golf+Course/data=!4m2!3m1!1s0x80856070fef0a049:0xdef9b5a8f64b50e4!10m1!1e1
856,856,856,856,856,856,856,856,856,856,Bay Club Crow Canyon,"{'wedding': 8, 'tennis courts': 7, 'dinner': 7, 'lunch': 6, 'meetings': 5, 'course': 4, 'gated community': 4, 'area': 4, 'buffet': 4, 'parking': 3}",4.4,0,292,Country club,37.788517,-121.959919,"711 Silver Lake Dr, Danville, CA 94526",https://www.google.com/maps/place/Bay+Club+Crow+Canyon/data=!4m2!3m1!1s0x808ff2e8f834a689:0x3a8c90dbd7a4743a!10m1!1e1
857,857,857,857,857,857,857,857,857,857,Blackhawk Country Club,"{'dinner': 6, 'food and service': 4, 'course': 4, 'wedding': 4, 'fundraiser': 3, 'dance': 3, 'meeting': 3, 'night': 3, 'lunch': 3, 'tennis': 3}",4.5,0,328,Country club,37.818933,-121.915517,"599 Blackhawk Club Dr, Danville, CA 94506",https://www.google.com/maps/place/Blackhawk+Country+Club/data=!4m2!3m1!1s0x808ff22abe20a6bd:0xb75f408ab139033c!10m1!1e1
858,858,858,858,858,858,858,858,858,858,Lincoln Park Golf Course,"{'price': 19, 'walk': 14, 'museum': 7, 'hilly': 7, 'bay': 6, 'ocean': 5, 'windy': 5, 'bag': 3, 'car': 3, 'trails': 3}",4.2,0,395,Public golf course,37.78231,-122.494446,"300 34th Ave, San Francisco, CA 94121",https://www.google.com/maps/place/Lincoln+Park+Golf+Course/data=!4m2!3m1!1s0x808587abd46b0635:0x370b1485244a04b0!10m1!1e1
859,859,859,859,859,859,859,859,859,859,Fleming 9 Course,"{'walk': 8, 'shape': 7, 'price': 6, 'hole': 4, 'lunch': 3, 'tee': 3}",4.4,0,159,Golf course,37.72563,-122.491058,"99 Harding Rd, San Francisco, CA 94132",https://www.google.com/maps/place/Fleming+9+Course/data=!4m2!3m1!1s0x808f7da65ee4434f:0x1d1c46021ad4f1c4!10m1!1e1
860,860,860,860,860,860,860,860,860,860,Diablo Hills Golf Course,"{'carts': 11, 'bar': 9, 'hole': 6, 'shape': 5, 'sports': 4, 'feel': 3}",4.2,0,189,Golf course,37.917349,-122.043602,"1551 Marchbanks Dr, Walnut Creek, CA 94598",https://www.google.com/maps/place/Diablo+Hills+Golf+Course/data=!4m2!3m1!1s0x808561b10dd0489f:0xa4c9649487d2b40c!10m1!1e1
861,861,861,861,861,861,861,861,861,861,Half Moon Bay Golf Links,"{'ocean': 93, 'beautiful': 33, 'coast': 31, 'walk': 24, 'hotel': 23, 'wind': 19, 'sunset': 18, 'trail': 17, 'property': 6, 'day': 5}",4.6,0,1304,Public golf course,37.434881,-122.440194,"2 Miramontes Point Rd, Half Moon Bay, CA 94019",https://www.google.com/maps/place/Half+Moon+Bay+Golf+Links/data=!4m2!3m1!1s0x808f0b6fff5fcd31:0x1863f7cbe111f44e!10m1!1e1
862,862,862,862,862,862,862,862,862,862,Diablo Country Club,{'party': 4},4.6,0,131,Country club,37.838969,-121.966074,"1700 Club House Rd, Diablo, CA 94526",https://www.google.com/maps/place/Diablo+Country+Club/data=!4m2!3m1!1s0x808ff4992da2a771:0x30f518719ff6ed71!10m1!1e1
863,863,863,863,863,863,863,863,863,863,Round Hill Country Club,"{'holiday': 7, 'pool': 5, 'party': 5, 'tennis': 5, 'renovated': 3, 'house': 3, 'kids': 3}",4.7,0,205,Country club,37.855511,-122.007785,"3169 Roundhill Rd, Alamo, CA 94507",https://www.google.com/maps/place/Round+Hill+Country+Club/data=!4m2!3m1!1s0x808f87595dbc31ad:0xb66f3b825259f545!10m1!1e1
864,864,864,864,864,864,864,864,864,864,Crystal Springs Golf Course,"{'shape': 13, 'deer': 10, 'price': 10, 'greens': 9, 'pro shop': 8, 'rain': 8, 'wedding': 7, 'management': 7, 'slope': 6, 'reservoir': 4}",4.0,0,286,Golf course,37.557475,-122.381622,"6650 Golf Course Dr, Burlingame, CA 94010",https://www.google.com/maps/place/Crystal+Springs+Golf+Course/data=!4m2!3m1!1s0x808f75e8b6c4a22d:0x13993b1d84506004!10m1!1e1
865,865,865,865,865,865,865,865,865,865,Fremont Park Golf Course,"{'tee': 21, 'price': 17, 'auto': 8, 'area': 6, 'water': 4, 'boxes': 3, 'pay': 3, 'mats': 3, 'fee': 3, 'clubs': 3}",3.8,0,216,Golf course,37.557016,-121.95788,"39751 Stevenson Pl #3067, Fremont, CA 94539",https://www.google.com/maps/place/Fremont+Park+Golf+Course/data=!4m2!3m1!1s0x808fc0e570ea1cbf:0x7fd9a15d9ece7c20!10m1!1e1
866,866,866,866,866,866,866,866,866,866,Canyon Lakes Golf Course,"{'brewery': 21, 'priced': 14, 'sand': 9, 'night': 4, 'lunch': 4, 'solid': 4, 'tee boxes': 4, 'sunset': 3}",4.2,0,336,Public golf course,37.770759,-121.949799,"640 Bollinger Canyon Way, San Ramon, CA 94582",https://www.google.com/maps/place/Canyon+Lakes+Golf+Course/data=!4m2!3m1!1s0x808ff27d0e9aafef:0x2367299bdeed5ec2!10m1!1e1
867,867,867,867,867,867,867,867,867,867,Oakhurst Country Club,"{'wedding': 11, 'dinner': 5, 'course': 5, 'management': 5, 'drinks': 5, 'shape': 5, 'sand': 3}",4.4,0,216,Country club,37.941424,-121.926938,"1001 Peacock Creek Dr, Clayton, CA 94517",https://www.google.com/maps/place/Oakhurst+Country+Club/data=!4m2!3m1!1s0x80855f152b3ee0b7:0x4d02025a9d94e2d1!10m1!1e1
868,868,868,868,868,868,868,868,868,868,Discovery Bay Golf and Country Club,"{'water': 6, 'homes': 4, 'wedding': 3}",4.3,0,226,Country club,37.894651,-121.593632,"1475 Clubhouse Dr, Discovery Bay, CA 94505",https://www.google.com/maps/place/Discovery+Bay+Golf+and+Country+Club/data=!4m2!3m1!1s0x809002ef860d0815:0xfd0114c8a4e75adb!10m1!1e1
