,title,category,latitude,longitude,address,link,monday,tuesday,wednesday,thursday,friday,saturday,sunday,date,time
639,Golden Gate Bridge,Bridge,37.819911,-122.47856,"Golden Gate Brg, San Francisco, CA",https://www.google.com/maps/place/Golden+Gate+Bridge/data=!4m2!3m1!1s0x808586deffffffc3:0xcded139783705509!10m1!1e1,,,,,,,,,
640,PIER 39,Tourist attraction,37.808673,-122.409821,"The Embarcadero, San Francisco, CA 94133",https://www.google.com/maps/place/PIER+39/data=!4m2!3m1!1s0x808580fc8bb3211d:0xbaf631600de6b39e!10m1!1e1,,,,,,,,,
641,Coit Tower,Historical landmark,37.802395,-122.405822,"1 Telegraph Hill Blvd, San Francisco, CA 94133",https://www.google.com/maps/place/Coit+Tower/data=!4m2!3m1!1s0x8085808c40000001:0xde85b80121f2dd44!10m1!1e1,,,,,,,,,
642,Filbert Steps,Tourist attraction,37.802115,-122.403552,"202 Filbert St, San Francisco, CA 94133",https://www.google.com/maps/place/Filbert+Steps/data=!4m2!3m1!1s0x808580f642581a5f:0x9360e323005a104f!10m1!1e1,,,,,,,,,
643,Union Square,Historical landmark,37.787936,-122.407514,"San Francisco, CA 94108",https://www.google.com/maps/place/Union+Square/data=!4m2!3m1!1s0x808580892df7905b:0xe36cf5789882dd6f!10m1!1e1,,,,,,,,,
644,San Francisco Maritime National Historical Park,Historical place,37.806437,-122.42392,"San Francisco, CA 94109",https://www.google.com/maps/place/San+Francisco+Maritime+National+Historical+Park/data=!4m2!3m1!1s0x808580e1a8edb3ed:0xb71a9f534658cd95!10m1!1e1,,,,,,,,,
645,Ripley's Believe It or Not!,Tourist attraction,37.808153,-122.415502,"175 Jefferson St, San Francisco, CA 94133",https://www.google.com/maps/place/Ripley's+Believe+It+or+Not!/data=!4m2!3m1!1s0x808580e30bd25a7f:0x15f13006eeb71b4f!10m1!1e1,,,,,,,,,
646,Washington Square,City park,37.800775,-122.410246,"Filbert St & Stockton Street, San Francisco, CA 94133",https://www.google.com/maps/place/Washington+Square/data=!4m2!3m1!1s0x808580f1a98e88a1:0x24c815888a8a9ff0!10m1!1e1,,,,,,,,,
647,Sea Lions,Scenic spot,37.810622,-122.410972,"203 The Embarcadero, San Francisco, CA 94133",https://www.google.com/maps/place/Sea+Lions/data=!4m2!3m1!1s0x808580fcf0f3b41d:0x2f04a049a632686!10m1!1e1,,,,,,,,,
648,Madame Tussauds San Francisco,Wax museum,37.808206,-122.414882,"145 Jefferson St Suite 600, San Francisco, CA 94133",https://www.google.com/maps/place/Madame+Tussauds+San+Francisco/data=!4m2!3m1!1s0x808580e3a7ac72cb:0xd00eed5cc8061ab6!10m1!1e1,,,,,,,,,
649,Yerba Buena Gardens,City park,37.784988,-122.402351,"750 Howard St, San Francisco, CA 94103",https://www.google.com/maps/place/Yerba+Buena+Gardens/data=!4m2!3m1!1s0x808580879c034b09:0x9426c73a3d692058!10m1!1e1,,,,,,,,,
650,Alcatraz Island,Historical place,37.826977,-122.422956,"San Francisco, CA 94133",https://www.google.com/maps/place/Alcatraz+Island/data=!4m2!3m1!1s0x808580f9b38c1c99:0xd15844a27f9a58a5!10m1!1e1,,,,,,,,,
651,Tank Hill,Park,37.759905,-122.447707,"Twin Peaks Blvd, San Francisco, CA 94114",https://www.google.com/maps/place/Tank+Hill/data=!4m2!3m1!1s0x808f7dfe17c93019:0xc2fd87b9738fb652!10m1!1e1,,,,,,,,,
652,San Francisco Carousel at Pier 39,Amusement park ride,37.810709,-122.410683,"39 Pier 39, San Francisco, CA 94133",https://www.google.com/maps/place/San+Francisco+Carousel+at+Pier+39/data=!4m2!3m1!1s0x808580fd1d2af09d:0x95a48dfd33d8a66d!10m1!1e1,,,,,,,,,
653,Sutro Baths,Historical landmark,37.780444,-122.51365,"1004 Point Lobos Ave, San Francisco, CA 94121",https://www.google.com/maps/place/Sutro+Baths/data=!4m2!3m1!1s0x808587b56c4f30b3:0xe01af746c44bb97e!10m1!1e1,,,,,,,,,
654,Sutro Heights,Park,37.777482,-122.510577,"846 Point Lobos Ave, San Francisco, CA 94121",https://www.google.com/maps/place/Sutro+Heights/data=!4m2!3m1!1s0x808587b42ebc4ef9:0x5e73c1ad9c8a015a!10m1!1e1,,,,,,,,,
655,The Wave Organ,Sculpture,37.808549,-122.440131,"83 Marina Green Dr, San Francisco, CA 94123",https://www.google.com/maps/place/The+Wave+Organ/data=!4m2!3m1!1s0x808581294cdeefe1:0x50d83c0a55fbcd2a!10m1!1e1,,,,,,,,,
656,Hyde Street Pier,Tourist attraction,37.808282,-122.421001,"2905 Hyde St, San Francisco, CA 94109",https://www.google.com/maps/place/Hyde+Street+Pier/data=!4m2!3m1!1s0x808580e1a93c75ed:0x2b51096fae5bde31!10m1!1e1,,,,,,,,,
657,16th Avenue Tiled Steps,Scenic spot,37.756244,-122.47323,"16th Ave, San Francisco, CA 94122",https://www.google.com/maps/place/16th+Avenue+Tiled+Steps/data=!4m2!3m1!1s0x80858761c278b065:0x3d5b0419554cd6ed!10m1!1e1,,,,,,,,,
658,Lands End Lookout,Visitor center,37.779723,-122.511589,"680 Point Lobos Ave, San Francisco, CA 94121",https://www.google.com/maps/place/Lands+End+Lookout/data=!4m2!3m1!1s0x808587b2b311deb9:0x30b2509be3ee7e65!10m1!1e1,,,,,,,,,
659,USS San Francisco Memorial,Park,37.782836,-122.511618,"San Francisco, CA 94121",https://www.google.com/maps/place/USS+San+Francisco+Memorial/data=!4m2!3m1!1s0x8085864d52b4be47:0x55df33c37d8693a9!10m1!1e1,,,,,,,,,
660,Chinatown San Francisco,Tourist attraction,37.793978,-122.408083,"Stockton St Tunnel, San Francisco, CA 94108",https://www.google.com/maps/place/Chinatown+San+Francisco/data=!4m2!3m1!1s0x808580f2e37ffed5:0xf9020621b030b2fa!10m1!1e1,,,,,,,,,
661,Japanese Tea Garden,Garden,37.770091,-122.470436,"75 Hagiwara Tea Garden Dr, San Francisco, CA 94118",https://www.google.com/maps/place/Japanese+Tea+Garden/data=!4m2!3m1!1s0x8085808fb9e85b85:0xbfb29b164018aab7!10m1!1e1,,,,,,,,,
662,Sector 19,Laser tag center,37.676735,-122.082481,"22380 Foothill Blvd, Hayward, CA 94541",https://www.google.com/maps/place/Sector+19/data=!4m2!3m1!1s0x808f935cbcee0d63:0x33be58774f1628b4!10m1!1e1,,,,,,,,,
663,"Q-ZAR Laser Tag - Concord, Ca.",Laser tag center,37.977728,-122.032158,"2295 Willow Pass Rd, Concord, CA 94520","https://www.google.com/maps/place/Q-ZAR+Laser+Tag+-+Concord,+Ca./data=!4m2!3m1!1s0x80856725dcc5955f:0xa4bc4335ff4b42fb!10m1!1e1",,,,,,,,,
664,LaserMaxx San Carlos,Laser tag center,37.503707,-122.245842,"1119 Industrial Rd Ste F, San Carlos, CA 94070",https://www.google.com/maps/place/LaserMaxx+San+Carlos/data=!4m2!3m1!1s0x808fa2146a5bca7b:0x5c43f81820abb35b!10m1!1e1,,,,,,,,,
665,LaserMaxx San Jose,Laser tag center,37.301088,-121.823272,"1035 E Capitol Expy, San Jose, CA 95121",https://www.google.com/maps/place/LaserMaxx+San+Jose/data=!4m2!3m1!1s0x808e3262a3c0a175:0x1895f7bfdfa23086!10m1!1e1,,,,,,,,,
666,Laser Tagging,Laser tag center,37.519944,-121.990999,"5759 Stevenson Blvd, Newark, CA 94560",https://www.google.com/maps/place/Laser+Tagging/data=!4m2!3m1!1s0x808fc75524800b8d:0x4ac66acdea725873!10m1!1e1,,,,,,,,,
667,Sandbox VR,Amusement center,37.786219,-122.404648,"767 B Market St, San Francisco, CA 94103",https://www.google.com/maps/place/Sandbox+VR/data=!4m2!3m1!1s0x80858137afb88081:0x3df14169920ab35c!10m1!1e1,,,,,,,,,
668,"K1 Speed - Indoor Go Karts, Corporate Event Venue, Team Building Activities",Go-kart track,37.70591,-121.916537,"6400 Sierra Ct Suite B, Dublin, CA 94568","https://www.google.com/maps/place/K1+Speed+-+Indoor+Go+Karts,+Corporate+Event+Venue,+Team+Building+Activities/data=!4m2!3m1!1s0x808fec0fd5db91a1:0x7fb7ad0289abd343!10m1!1e1",,,,,,,,,
669,Boomers Livermore,Amusement park,37.699546,-121.809962,"2400 Kitty Hawk Rd, Livermore, CA 94551",https://www.google.com/maps/place/Boomers+Livermore/data=!4m2!3m1!1s0x808fe627fba1e4e3:0x709c3eb78fd63755!10m1!1e1,,,,,,,,,
670,Zscape Games,Escape room center,37.783063,-121.980858,"2110 Omega Rd Ste E, San Ramon, CA 94583",https://www.google.com/maps/place/Zscape+Games/data=!4m2!3m1!1s0x808ff2da984fffff:0x3cbfe5e2f97e5574!10m1!1e1,,,,,,,,,
671,Playland,Paintball center,38.240424,-122.625316,"471 Kenilworth Dr, Petaluma, CA 94952",https://www.google.com/maps/place/Playland/data=!4m2!3m1!1s0x8084358a6c36e6c5:0x6b2629d9e911a17c!10m1!1e1,,,,,,,,,
672,Round1 Bowling & Amusement,Amusement center,37.968816,-122.061916,"185 Sun Valley Mall, Concord, CA 94520",https://www.google.com/maps/place/Round1+Bowling+%26+Amusement/data=!4m2!3m1!1s0x808566b86fad2acb:0x1a015a6d60af37b6!10m1!1e1,,,,,,,,,
673,Subpar Miniature Golf,Miniature golf course,37.805931,-122.423241,"900 North Point St F-201, San Francisco, CA 94109",https://www.google.com/maps/place/Subpar+Miniature+Golf/data=!4m2!3m1!1s0x808f86959352904d:0xcb027d015fc7936a!10m1!1e1,,,,,,,,,
674,Golfland,Miniature golf course,37.447774,-121.889999,"1199 Jacklin Rd, Milpitas, CA 95035",https://www.google.com/maps/place/Golfland/data=!4m2!3m1!1s0x808fcf3af132242d:0x7fb2dd4c5348b699!10m1!1e1,,,,,,,,,
675,Lost Worlds Adventures,Indoor playground,37.696857,-121.712738,"6538 Patterson Pass Rd, Livermore, CA 94550",https://www.google.com/maps/place/Lost+Worlds+Adventures/data=!4m2!3m1!1s0x808fe0b68d613677:0x3eb02508ffdd932f!10m1!1e1,,,,,,,,,
676,Lost Worlds Funtropolous,Indoor playground,37.240344,-121.905974,"5401 Camden Ave, San Jose, CA 95124",https://www.google.com/maps/place/Lost+Worlds+Funtropolous/data=!4m2!3m1!1s0x808e351a8dd6a6eb:0xcf91a8db2be13b0e!10m1!1e1,,,,,,,,,
677,Round1 Bowling & Arcade,Amusement center,37.651466,-122.104077,"551 Southland Mall Dr, Hayward, CA 94545",https://www.google.com/maps/place/Round1+Bowling+%26+Arcade/data=!4m2!3m1!1s0x808f91b947d58a31:0x8fd9e850339c7cf6!10m1!1e1,,,,,,,,,
678,Flyer Thrill Zone & 7D Experience,Tourist attraction,37.808789,-122.409775,"39 Pier Jamboree Road, 9 The Embarcadero, San Francisco, CA 94133",https://www.google.com/maps/place/Flyer+Thrill+Zone+%26+7D+Experience/data=!4m2!3m1!1s0x808580fc7e736abf:0x98920790fe19cd15!10m1!1e1,,,,,,,,,
679,Lazy Bear,New American restaurant,37.760412,-122.419716,"3416 19th St, San Francisco, CA 94110",https://www.google.com/maps/place/Lazy+Bear/data=!4m2!3m1!1s0x808f7e3c8b5b7e93:0x7e267bfa507a2912!10m1!1e1,,,,,,,,,
680,Rich Table,New American restaurant,37.774866,-122.42285,"199 Gough St, San Francisco, CA 94102",https://www.google.com/maps/place/Rich+Table/data=!4m2!3m1!1s0x8085809f40b8fd87:0x7b5e765335d416ff!10m1!1e1,,,,,,,,,
681,Scoma's Restaurant,Seafood restaurant,37.808932,-122.418433,"1965 Al Scoma Way, San Francisco, CA 94133",https://www.google.com/maps/place/Scoma's+Restaurant/data=!4m2!3m1!1s0x808580fc871ec6ad:0x976bca61020dcc34!10m1!1e1,,,,,,,,,
682,Delancey Street Restaurant,American restaurant,37.78436,-122.388434,"600 The Embarcadero, San Francisco, CA 94107",https://www.google.com/maps/place/Delancey+Street+Restaurant/data=!4m2!3m1!1s0x808580770df6174d:0x8be3ee157d693ab2!10m1!1e1,,,,,,,,,
683,House of Prime Rib,English restaurant,37.793433,-122.422732,"1906 Van Ness Ave, San Francisco, CA 94109",https://www.google.com/maps/place/House+of+Prime+Rib/data=!4m2!3m1!1s0x808580ea69dcae83:0x3ef25abd292344d9!10m1!1e1,,,,,,,,,
