,date,time,title,image_link,address,event_url,continuous
62,19-04-2024,10:00AM,Present Tense 2023: Perilous Playground,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/15623814/bdbc6f07-b019-49b3-a42f-befaa4b4dccc.jpg',"750 Kearny St., 3rd Floor",http://sf-events.brokeassstuart.com/events/2023/8/25/present-tense-2023-perilous-playground-tickets,Free - Through Aug 10
63,19-04-2024,7:30PM,Comedy at the 4 Star,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/18648313/52a87c20-9118-4223-800b-0097cfd3e677.jpg',,http://sf-events.brokeassstuart.com/events/2024/4/19/comedy-at-the-4-star-tickets,
64,19-04-2024,7:30PM,Mercury Soul at Grace Cathedral,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/18908841/3b5c2832-5f69-4bac-b8c6-3aabd3fb0336.jpg',1100 California Street,http://sf-events.brokeassstuart.com/events/2024/4/19/mercury-soul-at-grace-cathedral-tickets,
65,19-04-2024,5:30PM,Show of Hope Gala,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/19172735/3669fcd0-09f6-49a1-9ed1-9a4c0b33779e.jpg',5 Embarcadero Center,http://sf-events.brokeassstuart.com/events/2024/4/19/show-of-hope-gala-tickets,
66,19-04-2024,7:00PM,9th Ave: George Albon with Avery Burns and Dennis Phillips,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/18792351/c5cbba2a-3326-47a1-94d4-0eb485cf3d80.jpg',1231 9th Ave.,http://sf-events.brokeassstuart.com/events/2024/4/19/9th-ave-george-albon-with-avery-burns-and-dennis-phillips-tickets,
67,19-04-2024,7:00PM,THE 39 STEPS,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/13937195/d6b29014-5470-4562-93a3-780bedc75ef2.jpg',533 Sutter Street,http://sf-events.brokeassstuart.com/events/2024/3/7/the-39-steps-tickets,Through Apr 20
68,19-04-2024,5:20PM,Vertical.Show,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/18943534/67f42904-60e4-4ccd-8ef1-8351f0147fcf.jpg',636 Jackson Street,http://sf-events.brokeassstuart.com/events/2024/4/4/vertical-show-tickets,Through Apr 21
69,19-04-2024,8:00AM,The Yerba Buena Art Walk,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/10888252/80cf4f61-ee72-4072-b91d-60e35624be3d.jpg',,http://sf-events.brokeassstuart.com/events/2022/5/31/the-yerba-buena-art-walk-tickets,Free - Through May 31
70,20-04-2024,8:00PM,The Speakeasy: Age of Scofflaws,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/18906102/68ff93e5-1ab6-471a-a66e-2625491d6b9b.jpg',"644 Broadway, San Francisco",http://sf-events.brokeassstuart.com/events/2024/4/13/the-speakeasy-age-of-scofflaws-tickets,Through Jun 23
71,20-04-2024,10:00AM,Week of 420 at The Apothecarium,'https://assets0.dostuffmedia.com/uploads/aws_asset/aws_asset/19120240/867eee60-5361-40bd-bb88-a89dabbed4b9.png',2029 Market St,http://sf-events.brokeassstuart.com/events/2024/4/13/week-of-420-at-the-apothecarium-tickets,Through Apr 20
